,International number ID,Tropical cyclone number ID,Flag of the last data line,Difference between the time of the last data and the time of the final analysis,Name,Latest Revision
0,5101,,Dissipation,6,                    ,1990-10-17
1,5102,,Dissipation,6,             GEORGIA,2013-03-19
2,5103,,Dissipation,6,                HOPE,1989-06-01
3,5104,,Dissipation,6,                IRIS,2013-03-19
4,5105,,Going out,0,                JOAN,1991-07-16
5,5106,,Dissipation,6,                KATE,1989-06-01
6,5107,,Going out,0,                    ,1991-07-16
7,5108,,Dissipation,6,                    ,1989-06-01
8,5109,,Dissipation,6,              LOUISE,1989-06-01
9,5110,,Dissipation,6,                    ,1989-06-01
10,5111,,Dissipation,6,               MARGE,1989-06-01
11,5112,,Dissipation,6,                NORA,1989-06-01
12,5113,,Dissipation,6,                 ORA,1990-10-17
13,5114,,Dissipation,6,                 PAT,1989-06-01
14,5115,,Dissipation,6,                RUTH,1990-10-17
15,5116,,Going out,6,               SARAH,1992-01-27
16,5117,,Going out,0,              THELMA,1991-07-16
17,5118,,Going out,0,                VERA,1991-07-16
18,5119,,Dissipation,6,               WANDA,1989-06-01
19,5120,,Dissipation,6,                 AMY,1990-10-17
20,5121,,Dissipation,6,                BABS,1989-06-01
21,5201,,Dissipation,6,           CHARLOTTE,1989-06-01
22,5202,,Going out,0,               DINAH,1989-06-01
23,5203,,Dissipation,6,                EMMA,1989-06-01
24,5204,,Dissipation,6,               FREDA,1989-06-01
25,5205,,Dissipation,6,               GILDA,1989-06-01
26,5206,,Dissipation,6,             HARRIET,1990-10-17
27,5207,,Going out,0,                 IVY,1991-07-16
28,5208,,Dissipation,6,              JEANNE,1989-06-01
29,5209,,Going out,0,               KAREN,1991-07-16
30,5210,,Dissipation,6,                LOIS,1989-06-01
31,5211,,Dissipation,6,                MARY,1989-06-01
32,5212,,Dissipation,6,                NONA,1989-06-01
33,5213,,Going out,0,               OLIVE,1989-06-01
34,5214,,Dissipation,6,               POLLY,1989-06-01
35,5215,,Dissipation,6,                ROSE,1989-06-01
36,5216,,Dissipation,6,              SHIRLY,1989-06-01
37,5217,,Dissipation,6,                TRIX,1989-06-01
38,5218,,Dissipation,6,                 VAE,1990-10-17
39,5219,,Dissipation,6,               WILMA,1989-06-01
40,5220,,Going out,0,               AGNES,1991-07-16
41,5221,,Dissipation,6,                BESS,1989-06-01
42,5222,,Going out,0,              CARMEN,1991-07-16
43,5223,,Dissipation,6,               DELLA,1989-06-01
44,5224,,Dissipation,6,              ELAINE,1989-06-01
45,5225,,Dissipation,6,                FAYE,1989-06-01
46,5226,,Dissipation,6,              GLORIA,1990-10-17
47,5227,,Dissipation,6,              HESTER,1989-06-01
48,5301,,Dissipation,6,                IRMA,1989-06-01
49,5302,,Dissipation,6,                JUDY,1989-06-01
50,5303,,Dissipation,6,                    ,1990-10-17
51,5304,,Dissipation,6,                 KIT,1990-10-17
52,5305,,Dissipation,6,                LOLA,1990-10-17
53,5306,,Dissipation,6,               MAMIE,1990-10-17
54,5307,,Dissipation,6,                NINA,1989-06-01
55,5308,,Dissipation,6,             OPHELIA,1989-06-01
56,5309,,Dissipation,6,             PHYLLIS,1989-06-01
57,5310,,Dissipation,6,                RITA,1989-06-01
58,5311,,Dissipation,6,                    ,1989-06-01
59,5312,,Dissipation,6,               SUSAN,1989-06-01
60,5313,,Dissipation,6,                TESS,1989-06-01
61,5314,,Dissipation,6,                    ,1989-06-01
62,5315,,Dissipation,6,                    ,1989-06-01
63,5316,,Going out,0,               VIOLA,1991-07-16
64,5317,,Dissipation,6,              WINNIE,1989-06-01
65,5318,,Going out,0,               ALICE,1991-07-16
66,5319,,Dissipation,6,               BETTY,2013-03-19
67,5320,,Dissipation,6,                CORA,1990-10-17
68,5321,,Dissipation,6,                    ,1989-06-01
69,5322,,Dissipation,6,                    ,1989-06-01
70,5323,,Dissipation,6,               DORIS,1989-06-01
71,5401,,Dissipation,6,                    ,1989-06-01
72,5403,,Dissipation,6,               ELSIE,1989-06-01
73,5404,,Dissipation,6,             FLOSSIE,1989-06-01
74,5405,,Going out,0,               GRACE,1990-10-17
75,5406,,Going out,0,               HELEN,1991-07-16
76,5407,,Dissipation,6,                    ,1989-06-01
77,5408,,Dissipation,6,                 IDA,1990-10-17
78,5409,,Dissipation,6,                    ,1989-06-01
79,5411,,Dissipation,6,                    ,1989-06-01
80,5412,,Dissipation,6,                JUNE,1990-10-17
81,5413,,Going out,0,               KATHY,1991-07-16
82,5414,,Going out,0,               LORNA,1991-07-16
83,5415,,Going out,0,               MARIE,1989-06-01
84,5416,,Dissipation,6,               NANCY,1989-06-01
85,5417,,Going out,0,                OLGA,1991-07-16
86,5418,,Dissipation,6,                    ,1989-06-01
87,5419,,Dissipation,6,              PAMELA,1989-06-01
88,5420,,Dissipation,6,                RUBY,1989-06-01
89,5421,,Dissipation,6,               SALLY,1989-06-01
90,5422,,Dissipation,6,               TILDA,1989-06-01
91,5423,,Dissipation,6,                    ,1989-06-01
92,5501,,Dissipation,6,              VIOLET,1989-06-01
93,5502,,Dissipation,6,                    ,1989-06-01
94,5503,,Dissipation,6,               WILDA,1989-06-01
95,5504,,Dissipation,6,               ANITA,1989-06-01
96,5505,,Dissipation,6,              BILLIE,1989-06-01
97,5506,,Dissipation,6,                    ,1989-06-01
98,5507,,Dissipation,6,               CLARA,1989-06-01
99,5508,,Dissipation,6,                 DOT,1989-06-01
100,5509,,Going out,0,               ELLEN,1991-07-16
101,5510,,Going out,0,                    ,1991-07-16
102,5511,,Going out,0,                FRAN,1991-07-16
103,5512,,Dissipation,6,                    ,1989-06-01
104,5513,,Dissipation,6,             GEORGIA,1989-06-01
105,5514,,Dissipation,6,                HOPE,1989-06-01
106,5515,,Dissipation,6,                    ,1989-06-01
